"Reaction","WT_mean","mip6_mean","log2FC","p_value","FDR"
"DKMPPD2",0,0,0,NA,1
"DMATT",0.0029754347075784,0.00297543470763147,2.57238351680548e-11,0.142806623276726,0.166027212427414
"DOLPMMer",0.000669472809213608,0.00066947280920811,-1.18299337359866e-11,0.397435643140809,0.419950470215288
"DOLPMTcer",0.000669472809213608,0.00066947280920811,-1.18299337359866e-11,0.397435643140809,0.419950470215288
"DOLPt2er",0.000669472809213608,0.00066947280920811,-1.18299337359866e-11,0.397435643140809,0.419950470215288
"DPCOAK",0,0,0,NA,1
"DPMVD",0.00892630412291389,0.00892630412291389,0,NA,1
"DPR",0,0,0,NA,1
"DPRm",0,0,0,NA,1
"DROPPRy",0.000669472809213608,0.00066947280920811,-1.18299337359866e-11,0.397435643140809,0.419950470215288
"DRTPPD",0.000669472809213608,0.00066947280920811,-1.18299337359866e-11,0.397435643140809,0.419950470215288
"DTMPK",0,0,0,NA,1
"DTTPt",0,0,0,NA,1
"DURIK1",0,0,0,NA,1
"DURIPP",0,0,0,NA,1
"DURIPP_rev",0,5.80489957177901e-14,8.37469959852641e-08,0.414399483015836,0.436799455070746
"DUTPDP",0,0,0,NA,1
"D_LACDcm",4.03225806451613e-05,0,-5.36885844995477,2.55312105210333e-08,3.70030044375787e-08
"D_LACDm",5.96774193551057e-05,0,-5.92308782314267,7.15634387799456e-13,1.10434227469772e-12
"D_LACt2",0,0,0,NA,1
"D_LACt2_rev",0,0.000100000000002509,6.65821148278764,2.62737412911316e-26,1.58752605829513e-25
"D_LACt2m",1.12903225806452e-05,0,-3.61945087710645,0.00679981390666482,0.00889365904255856
"D_LACt2m_rev",0.223354703366669,0.0996355577326899,-1.16459600920873,0.0522027887868274,0.0654824455834764
"D_LACtm",0.223403090459202,0.0996355577326898,-1.16490851637557,2.00162921684849e-07,2.85282037883057e-07
"D_LACtm_rev",0,0,0,NA,1
"E4Ptm",0,0,0,NA,1
"ENO",0,0,0,NA,1
"EPISTt",0,0,0,NA,1
"EPISTt_rev",0,0,0,NA,1
"ERGSTt",0,0,0,NA,1
"ERGSTt_rev",0,0,0,NA,1
"ERGSTter",0.0004733646125795,0.0004733646125795,0,NA,1
"ERGTETROLter",0.0004733646125795,0.0004733646125795,0,NA,1
"ETOHt",0,0,0,NA,1
"ETOHt_rev",0.00031634809856068,2e-04,-0.658870697115983,1.44019401345064e-28,1.21145731719672e-27
