"","Acetate","Fructose","Galactose","Gluconate","Glucose","Glycerol","Pyruvate","Succinate"
"b1832",11.547791258465,12.2542801796447,11.7640717096798,11.6679804855136,11.331078003849,11.7462070497769,11.8246476965819,11.592113347505
"b2856",8.74349407971768,8.90604488495205,8.96323032077828,9.67410367337528,9.93592372043208,9.0543551432961,9.39807669811288,10.1908039902413
"b4401",13.6251523586704,13.5867979738098,13.6867590336459,13.349608763241,13.9402665483325,13.7906009613253,12.8020135273086,12.920025767608
"b3014",6.86271248929114,7.07223399855732,7.25193526275052,6.89710370356762,7.13458657863907,7.14390605680112,7.37547946388572,7.27495589397234
"b2410",9.53779956310584,10.0851905676127,9.71373838792817,9.51077180910677,9.42342681140864,9.46513819906817,9.85798869525873,10.38073096528
"b0634",10.2586390166254,10.4261871976358,9.88657579809585,10.2364206035083,9.79400458150817,10.10363226196,10.483534481371,10.3883107746905
"b1247",11.7851318336693,11.6758643774989,11.3212444072464,11.7616293437359,10.8692874637988,10.6552250841036,11.4054198550004,11.0677012435835
"b3931",9.95537308130361,10.2135912569263,9.7989924882989,9.85883990643974,9.00834695279783,10.1118624751407,10.4399202963505,10.3149260598125
"b3255",15.0312353356957,14.896859233094,14.6621268655294,14.9369679281824,13.9661601782929,13.6349668120659,13.8389223170384,13.9879141219439
"b4035",10.1158013237172,8.94846964964676,10.4508229645529,7.51127477129882,10.0303184057779,10.1965780670899,9.68767407573132,9.19894390787268
"b3688",12.2445040528277,11.6688759093976,12.1547502434902,11.0905872597167,12.8744738572848,12.2753439659213,11.3622816323758,11.1678942803627
"b2454",7.40635214848724,7.48661807450369,7.6438379164772,7.77572511298501,7.88989926950567,7.7902746918949,7.57829759737417,7.49330655809933
"b4391",11.6850944952612,11.624819853292,11.475578084181,11.1972058866237,10.8474693034801,11.0682894777008,11.5764926107914,11.2539771166046
"b0844",10.3897828990529,10.6070219099945,10.3313368508765,10.0279181965684,9.70065019680339,9.67926078027636,9.86933550672958,10.3643171318642
"b3909",9.13079601321333,9.09379952336126,9.03806792542612,8.41327538403619,9.5684973296086,9.27298578881878,8.74425414753246,9.27774796046162
"b0357",13.1157924610542,12.8471191117569,12.8388371762829,12.9739936780249,12.8252482422131,13.1060232737957,12.8865341185445,13.0702348276556
"b1814",9.77972713988218,9.99127296287312,9.73181071863712,9.83693624694943,9.95362109859162,10.3661333103546,10.0269079250943,10.673961939327
"b0340",8.28068543828552,8.64133128470561,8.55547794131294,8.25302288682908,8.66571143288547,8.03626796686669,8.10436998568539,8.5252088878992
"b2857",7.11132832074733,7.66564093622716,7.63260760000967,6.65136207436605,6.82864851021642,7.86550741630194,7.85319966117113,7.79184850854817
"b2023",13.9474757131229,14.0409958066797,14.0211837277778,14.1009536014573,13.8959197321914,13.0380196583003,13.9955773435278,13.8885783287374
"b2554",11.2901106266374,11.4710170220775,11.1892855012935,11.0514181305213,10.4712093413607,10.3338655610636,10.6841205413759,10.6771459709734
"b0260",9.45231695637366,10.3014466455954,9.06124540690003,9.96139783755461,9.16004355424616,8.36075795122846,10.2894857221996,9.63129708260585
"b2094",17.252614855953,16.0156578539708,17.2204829480693,16.6073106108731,17.1771301166143,17.1569861640303,17.0130566904582,17.0492604114011
"b2538",8.20504576055982,8.32572304215997,8.30215891297201,7.63564045413898,9.18607485859507,8.52148348281867,8.26963217610488,8.62963870588659
"b3212",14.5804283990051,16.0980104863534,15.3498576534823,15.6619052934198,15.373387826411,14.0870336700008,15.146760644094,14.7663585561535
"b3269",6.95567025052158,7.1419731300032,6.75505801441869,6.8210800447433,7.22697003263723,7.06744612130914,6.49207348248304,6.70380620579248
"b4176",8.07884187938417,8.64445759206154,8.27920677345664,8.55544622363764,7.37076310268052,7.90839991322216,8.05354579279202,8.5380654038283
"b1916",10.938235722924,10.9097168167465,11.1677932024339,11.3611871665612,11.2608110330617,10.3004972353261,10.6104262211978,10.1047894218762
"b0532",8.66507503048865,9.09736567776604,8.84160337633353,9.32970891471975,9.83472648573368,8.97125679818487,8.70564094485687,9.26373135767565
"b3602",10.3756865711975,10.7016072229775,10.6819955599289,10.5888668304637,10.1391315921014,9.99361677410461,10.4362783171898,10.7250752451078
"b1972",7.84499650291728,8.29745693740154,8.26415489171436,7.89482271657025,8.62932921001552,8.53252376712731,8.90927326723363,7.81541762352751
