"","mip6_20_vs_0_logFC","mip6_20_vs_0_padj","mip6_120_vs_20_logFC","mip6_120_vs_20_padj","WT_20_vs_0_logFC","WT_20_vs_0_padj","WT_120_vs_20_logFC","WT_120_vs_20_padj","0_mip6d_vs_WT_logFC","0_mip6d_vs_WT_padj","20_mip6d_vs_WT_logFC","20_mip6d_vs_WT_padj","120_mip6d_vs_WT_logFC","120_mip6d_vs_WT_padj"
"YHR100C",-0.558648914767789,5.69766192225571e-09,0.376360598399365,0.000185222667614918,-0.372967935774202,8.20230597773917e-05,0.201487090259643,0.0491224228226411,0.0353125976159928,0.965544273735437,-0.150368381377594,0.223131023640479,0.0245051267621286,0.998144679236324
"YHR101C",0.0932205332261755,0.290211452243058,-0.186205824301508,0.0276263511086587,0.334755927914164,8.77086494768328e-06,-0.453183256259919,7.77746691975168e-10,0.0809525458806501,0.814580727775359,-0.160582848807338,0.0822714439259973,0.106394583151073,0.878467413974937
"YHR102W",0.100353997620469,0.520462817168429,0.0278985714708401,0.880803856882973,-0.0603059037344598,0.708416928141951,0.301313077772107,0.0369655219797331,0.0293735366320469,0.981291351167323,0.190033437986976,0.267343932309324,-0.0833810683142916,0.998144679236324
"YHR103W",-0.143458746939977,0.00265833692621383,0.243148256788418,1.84641955366285e-07,-0.353583264268185,1.74174943328863e-15,0.365476075473011,2.01471318319109e-16,-0.0115740523957886,0.976995384528681,0.198550464932419,0.000139497236823971,0.076222646247825,0.730653217558698
"YHR104W",2.64297958627334,2.26760980675801e-178,-1.79783012501772,1.89917424109929e-83,2.52243158088852,2.06406051828656e-162,-1.77218536917387,2.80109857642295e-81,0.148619930805563,0.704473352728938,0.269167936190379,0.0181342840346658,0.243523180346537,0.252651087108188
"YHR105W",0.0845393363770774,0.630312320649616,0.0829598051524707,0.658784135753359,0.212990112065704,0.172852817418495,0.103744081448858,0.556508677949287,0.0805413524593329,0.92769700001583,-0.0479094232292933,0.830817910417983,-0.0686936995256801,0.998144679236324
"YHR106W",0.251816616071708,0.0071354596304155,0.0127262105799428,0.920481055049796,0.113414549017003,0.251721321004854,0.207845121615789,0.0271618496019199,0.145298586182586,0.674154078117377,0.283700653237292,0.00591820724629346,0.0885817422014454,0.984616905622664
"YHR107C",-0.101118776236664,0.0363584557446443,0.0302183942978626,0.600557136776592,-0.0468496328281547,0.340204775152966,-0.118890085183278,0.00993336069678573,-0.0784818474848917,0.643378487747514,-0.132750990893401,0.011099940901322,0.0163574885877402,0.998144679236324
"YHR108W",-0.218915068305674,0.00357241965951142,-0.231106472322522,0.0030191468719979,-0.33031141161681,5.02610711306124e-06,-0.0817821963138874,0.343670758472219,-0.0106445726382983,0.989585218474986,0.100751770672837,0.285683870971904,-0.0485725053357975,0.998144679236324
"YHR109W",0.36428310674116,3.03693626629442e-06,-0.320831270016601,4.55444475967946e-05,0.376696526921005,4.07527318194488e-07,-0.223107627177456,0.00355198655259171,-0.0353909671359572,0.951789889056207,-0.0478043873158019,0.666169048879321,-0.145528030154947,0.563178769774033
"YHR110W",-0.297864593748542,0.00059117814730803,0.0936639258891295,0.363594024227099,-0.113509740306942,0.213386532112992,-0.162488815109235,0.0774230985717426,0.0511971624012659,0.919509745739994,-0.133157691040334,0.215057729413525,0.12299504995803,0.854791215881954
"YHR111W",0.103486725990629,0.0889724893317563,0.0035614648106891,0.964401886422045,0.071841657790333,0.232079330313139,0.068913878778839,0.266657853636618,0.017185162238129,0.975422045617045,0.0488302304384253,0.522914329193148,-0.0165221835297247,0.998144679236324
"YHR112C",0.636249640110758,1.03075890388767e-16,-0.12709360030436,0.15098248486448,0.369716057511915,1.95565335374116e-06,0.164264808691986,0.0490242101126349,0.0222144862724374,0.976074646911432,0.28874806887128,0.0010453863690544,-0.00261034012506653,0.998144679236324
"YHR113W",0.492176560919299,1.37466955957097e-12,-0.414242424936967,5.2342482305473e-09,0.273348510777672,0.000125283696482316,-0.177174951185844,0.0188355515166373,0.0898214368238954,0.750162620308642,0.308649486965522,9.16165161523626e-05,0.0715820132143994,0.990375900802144
"YHR114W",-0.212693776030296,0.0179665787836496,0.0287498478309117,0.804119954309077,-0.0894892718397864,0.347667682719562,0.100928187158358,0.309200759253981,0.0830139251058746,0.829111876406612,-0.0401905790846353,0.757357846956943,-0.112368918412081,0.911861546819664
"YHR115C",0.272978433865059,0.131871212461529,-0.150251297889414,0.46733523846201,-0.208344938348276,0.257405345177713,0.307302038343366,0.0962171547730855,0.0213547527050775,0.993211276026191,0.502678124918412,0.00956597324199257,0.0451247886856325,0.998144679236324
"YHR116W",0.401032182916643,7.34877885844155e-05,-0.158136276362758,0.160210900682176,0.724615260984552,3.95642707816579e-14,-0.31499081249295,0.00154998687979542,0.208434468735451,0.526416502744713,-0.115148609332458,0.370966001042758,0.0417059267977341,0.998144679236324
"YHR117W",-0.210402585175013,0.00390292038123139,0.0275786262138454,0.770890840045197,-0.342979856810641,8.37548989280375e-07,0.124507532673684,0.113332833676394,-0.02997294871475,0.955966266117146,0.102604322920878,0.258709071781913,0.00567541646103967,0.998144679236324
